"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2704.97591643446","2678.66781662373","2735.58945640054","2648.06795031663","2223.17991833597","2088.672641835","2093.43317662802","2151.72674509652","2069.46458033021","2007.7998489411","1992.48735065561","2017.34433216415","1926.52047815437","1934.60630719246","1877.94192361954","1910.02543448059","1891.73278447214","1886.81207349624","1856.36349471021","1865.32509771084","1886.92299293403","1917.02213532847","1955.80111911348","1987.00823865305","1880.23506381968","1854.41220810912","1824.71400510307","1790.05656094368","1751.52233011102","1718.80489634898","1699.89295125468","1654.73127590065",
"Belgique","BEL","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96002.441383158","96096.5489912141","96011.589345853","99249.1915789147","100540.537486623","101946.122498552","104606.41325808","106080.11233298","106486.021659343","106909.377130899","110124.8951816","111607.981662862","112742.952423629","114200.163036654","114633.003455196","116807.173472487","117984.554806494","116703.041034461","115019.924182946","116456.36883084","117374.817460347","117928.317842573","118389.771791312","119969.005144297","122103.851145877","122592.482810827","121417.946653687","120726.229391691","121497.987070322","115821.384044801","121780.405808483","122847.574768983",
"Bénin","BEN","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516.59686485937","5513.09591007845","5531.00154772242","5423.0413824245","5672.65207393893","5780.68841958475","5930.29248269363","5968.39962223057","6081.59915947127","6226.86472109981","6344.95829087654","6423.72135388704","6432.6367977099","6503.49242993669","6390.63380490549","6427.68149314731","6610.63004606673","6719.25627130757","6655.46315473444","6577.29077668243","6666.09912336266","6874.40243695452","7259.87000979422","7617.52566214795","7658.42623305016","7817.71879666865","8166.36762047539","8620.67837210619","8941.08308823447","9111.93140711884","9453.8940767398","9694.17032180705",
"Burkina Faso","BFA","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2410.95600545884","2383.6628041703","2426.13300684861","2416.37844417029","2507.23264652707","2732.59992743115","2854.71095803271","2999.15051093418","3147.58932714852","3133.48926213715","3258.55995792719","3319.32837773924","3492.94661703238","3588.56570942547","3834.66677259618","3977.19800464644","4048.86359722272","4218.84608649148","4284.13008142232","4577.22078073547","4811.56534275053","5043.80704976908","5256.73895214271","5404.33564251822","5454.41475055693","5606.56248180481","5777.34636033101","5978.86443804419","6128.04370508357","6128.93180113037","6295.51626299952","6163.46585297161",
"Bangladesh","BGD","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5352.99936612235","5495.3217627529","5593.22789670484","5644.85791099704","5766.94756729013","5871.58595497135","5981.58875949306","6130.4413756824","6249.85518833844","6414.86634330135","6592.22244261959","6700.33203946336","6883.92837350139","7079.64847779219","7382.90607129632","7696.1560550428","8184.00106699114","8630.33815610297","9010.02208779286","9209.08777611613","9675.15751601023","10156.7564919065","10602.4329897442","11033.6919323612","11544.2056447665","12136.4639380538","12168.6830524613","12760.0844570436","13472.0202813729","13921.0404967331","14539.5978566417","15109.020617013",
"Bulgarie","BGR","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28571.5384843884","27802.7108379129","28238.27172754","27922.3194159342","28569.5210310535","31010.4310836551","27454.9759533355","28497.0190915528","27139.4969387696","29611.5682009655","31893.2079510768","33940.8450064198","34628.0437655878","35841.5302976309","38345.6111405653","39403.7861497999","40313.1816947113","41551.7141447644","41628.6201086837","43953.9542290845","46496.6461911342","47219.300211102","46924.5217550513","46638.0778441391","47370.383716962","48980.3233154411","48121.9517547306","49296.470252402","49962.3628724983","49605.0548062081","54181.856588707","57947.7819033439",
"Bahreïn","BHR","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92962.61114404","95775.2129818856","104100.249895965","100030.68198642","99888.5047542853","99852.3166192062","98745.2365755029","99174.3269258075","99159.5022177729","100120.180757109","98482.5200676066","97682.2911720348","97985.7430512861","95857.611154761","92489.7232486983","89376.0272521422","88172.9579031069","85692.1846340562","80728.7665377044","80799.9246592792","83370.9000691838","84764.6695650364","86407.6997090919","87760.6605814714","86915.736331295","86236.8403998033","86142.1134271341","85557.4098763346","87012.4193157151","86745.7900006132","89387.4012080789","91923.9832802242",
"Bahamas","BHS","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76999.0946184214","74037.4115921587","70413.3381928285","71585.3186970073","70526.6272883864","72336.9125565014","74043.8140341566","67872.6433804055","74041.9760650056","75223.6768880173","75326.16256669","77725.0191263213","77028.9039896905","75846.3827736678","76974.7015966492","75242.7432005349","75275.9122246921","72643.3060811093","73532.47627196","73353.9127370734","72538.4173412497","72966.2408985566","71655.7803388281","69830.5352763765","68045.4534937365","67485.7437176693","65838.8723984963","65996.8080483287","64696.5350567381","53047.7056718622","59522.6665995102","65013.1278534384",
"Bosnie-Herzégovine","BIH","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6662.68751071275","8218.70035477066","14906.0598570866","19340.8731773182","22053.6094160266","23945.5686611692","27025.9435977817","27504.3637434164","28864.2803905239","30071.0658333687","32453.700027706","34181.4959353367","36529.9127538613","37316.440536231","36289.629125444","36153.0055393978","38084.195738356","39562.3881031244","39808.4295339886","41318.2729906759","41390.3829200529","43742.9963141439","44423.2729811245","43516.1994642246","44685.3992969019","44030.5428879612","43237.8949744502","44016.0921698244","45997.0420069517",
"Bélarus","BLR","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19398.3808023715","17930.4339100373","17480.0481036214","16113.7355998272","15217.3768768855","17044.2291616629","17372.9218270139","18132.1868379267","18396.0013167949","19109.1007886383","19654.1489548462","20352.6572514813","21543.4369212648","23791.4663430283","25729.3925954661","28004.1561531781","30034.9827860845","32705.664094827","32300.4106982253","34769.1978087502","36538.1880096784","37090.0518606187","37457.4432914927","38113.105556055","36592.2655047973","35695.2530865478","36621.7874271438","37620.0612833028","38135.9200152549","38138.3961154513","39321.7872202441","38036.4345427136",
"Belize","BLZ","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24182.8889419298","26296.6269183976","27229.6979498931","26994.9744167059","26583.9131649781","26081.2977938976","25361.4318758117","25509.4008324312","25992.836961076","27397.6909010419","26981.56463043","27467.7545796692","28874.4914114215","29114.4219277517","28678.8460079347","28326.1048290574","27830.9711032587","26239.4886054809","25122.9403485143","24444.0003176139","23477.4948941962","23462.8788488081","23619.201029511","23444.1430701084","23155.8478015511","22193.5980584357","21208.4498511352","21084.1984879912","21719.9577095818","19221.2188102973","21166.983768673","22902.6491781242",
"Bermudes","BMU","PIB par personne employée (dollars PPA constants de 2011)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
